Timestamp,IR Value
21.81,32253,103062.00
21.93,32374,103982.00
22.05,32494,103941.00
22.17,32615,104607.00
22.29,32736,104870.00
22.41,32858,103182.00
22.53,32978,104356.00
22.65,33097,104703.00
22.78,33219,105462.00
22.9,33340,106025.00
23.02,33461,104854.00
23.14,33582,104100.00
23.26,33701,104977.00
23.38,33822,104931.00
23.5,33943,105676.00
23.62,34064,106154.00
23.74,34185,103796.00
23.86,34305,104842.00
23.98,34425,105022.00
24.1,34546,105014.00
24.22,34667,105289.00
24.34,34787,104798.00
24.47,34908,103094.00
24.59,35028,103996.00
24.71,35149,104100.00
24.83,35270,105921.00
24.95,35390,106303.00
25.07,35511,103549.00
25.19,35632,103887.00
25.31,35753,104196.00
25.43,35874,104601.00
25.55,35993,104964.00
25.67,36115,103959.00
25.79,36236,102680.00
25.91,36357,103532.00
26.03,36477,103320.00
26.15,36597,103559.00
26.28,36718,103628.00
26.4,36839,100855.00
26.52,36960,101324.00
26.64,37081,102120.00
26.76,37200,103613.00
26.88,37321,104779.00
27.0,37442,105169.00
27.12,37563,106840.00
27.24,37684,109341.00
27.36,37804,109918.00
27.48,37924,109895.00
27.6,38045,109791.00
27.72,38166,106524.00
27.84,38286,109016.00
27.96,38407,108500.00
28.09,38528,109714.00
28.21,38649,109290.00
28.33,38770,106789.00
28.45,38889,107661.00
28.57,39011,107224.00
28.69,39132,108550.00
28.81,39252,108775.00
28.93,39373,105545.00
29.05,39493,106191.00
29.17,39614,107871.00
29.29,39735,109085.00
29.41,39856,109700.00
29.53,39976,107776.00
29.65,40096,106604.00
29.77,40217,107054.00
29.9,40338,106936.00
30.02,40459,106919.00
30.14,40580,106461.00
30.26,40699,104259.00
30.38,40820,105089.00
30.5,40941,104621.00
30.62,41063,105262.00
30.74,41184,105502.00
30.86,41303,103365.00
30.98,41424,104142.00
31.1,41545,104268.00
31.22,41666,104926.00
31.34,41786,105444.00
31.46,41907,103866.00
31.58,42028,103515.00
31.7,42148,104090.00
31.83,42269,104204.00
31.95,42389,104744.00
32.07,42510,104748.00
32.19,42631,102775.00
32.31,42752,103756.00
32.43,42872,103688.00
32.55,42992,104845.00
32.67,43113,106802.00
32.79,43234,108006.00
32.91,43355,109970.00
33.03,43475,110955.00
33.15,43595,111296.00
33.27,43716,111271.00
33.39,43837,111005.00
33.52,43958,109875.00
33.64,44078,108274.00
33.76,44198,106789.00
33.88,44319,107250.00
34.0,44441,108135.00
34.12,44562,105315.00
34.24,44681,107498.00
34.36,44803,108375.00
34.48,44923,108355.00
34.6,45044,107843.00
34.72,45165,105063.00
34.84,45285,104138.00
34.96,45406,104642.00
35.08,45527,104712.00
35.2,45647,105212.00
35.32,45767,104759.00
35.44,45888,102816.00
35.57,46009,103496.00
35.69,46130,103311.00
35.81,46251,103657.00
35.93,46370,103957.00
36.05,46491,101908.00
36.17,46612,101832.00
36.29,46733,101912.00
36.41,46854,102179.00
36.53,46973,102621.00
36.65,47094,102140.00
36.77,47215,100575.00
36.89,47337,101386.00
37.01,47456,101512.00
37.13,47577,102231.00
37.26,47698,102590.00
37.38,47819,100398.00
37.5,47940,103022.00
37.62,48060,107591.00
37.74,48181,110214.00
37.86,48302,110551.00
37.98,48422,110215.00
38.1,48543,110538.00
38.22,48663,109773.00
38.34,48784,110530.00
38.46,48905,111142.00
38.58,49026,110737.00
38.7,49145,108096.00
38.82,49266,108856.00
38.94,49387,109877.00
39.07,49508,110229.00
39.19,49629,109796.00
39.31,49748,109562.00
39.43,49869,106477.00
39.55,49990,109853.00
39.67,50111,109511.00
39.79,50231,110712.00
39.91,50352,110145.00
40.03,50473,109947.00
40.15,50594,109345.00
40.27,50715,110362.00
40.39,50835,109096.00
40.51,50956,106036.00
40.63,51077,103228.00
40.75,51197,102851.00
40.88,51318,102748.00
40.99,51438,102791.00
41.12,51559,103121.00
41.24,51680,102169.00
41.36,51801,100565.00
41.48,51920,99395.00
41.6,52041,98554.00
41.72,52162,102756.00
41.84,52283,104103.00
41.96,52404,103584.00
42.08,52524,102649.00
42.2,52644,107608.00
42.32,52765,105055.00
42.44,52886,103333.00
42.56,53007,106512.00
42.68,53127,106745.00
42.81,53248,103312.00
42.93,53368,105454.00
43.05,53490,107110.00
43.17,53611,103136.00
43.29,53730,101175.00
43.41,53852,102381.00
43.53,53972,103249.00
43.65,54093,103058.00
43.77,54214,104846.00
43.89,54334,104447.00
44.01,54455,102075.00
44.13,54576,103470.00
44.25,54696,104789.00
44.37,54817,104039.00
44.49,54937,102822.00
44.61,55058,105098.00
44.74,55179,104734.00
44.86,55300,105337.00
44.98,55419,109015.00
45.1,55540,107367.00
45.22,55661,107636.00
45.34,55782,107275.00
45.46,55903,108409.00
45.58,56023,109260.00
45.7,56143,108981.00
45.82,56264,109318.00
45.94,56386,109750.00
46.06,56507,109401.00
46.18,56626,110470.00
46.3,56748,108901.00
46.43,56868,108307.00
46.55,56989,108858.00
46.67,57110,106968.00
46.79,57230,106497.00
46.91,57351,106032.00
47.03,57472,102898.00
47.15,57592,102976.00
47.27,57713,102394.00
47.39,57833,102633.00
47.51,57954,102848.00
47.63,58075,101795.00
47.75,58195,101076.00
47.87,58315,101510.00
47.99,58436,101505.00
48.11,58557,102565.00
48.24,58678,104133.00
48.36,58800,105406.00
48.48,58918,103994.00
48.6,59039,105308.00
48.72,59161,102506.00
48.84,59282,102399.00
48.96,59403,100492.00
49.08,59523,97005.00
49.2,59643,103324.00
49.32,59764,99526.00
49.44,59885,102886.00
49.56,60006,103256.00
49.68,60126,98709.00
49.8,60247,104518.00
49.92,60367,101540.00
50.05,60488,101713.00
50.17,60609,102457.00
50.29,60729,98349.00
50.41,60850,100007.00
50.53,60971,97695.00
50.65,61091,102458.00
50.77,61212,104138.00
50.89,61332,101708.00
51.01,61453,101290.00
51.13,61574,105193.00
51.25,61694,101192.00
51.37,61815,103812.00
51.49,61935,105146.00
51.61,62056,102063.00
51.73,62177,101771.00
51.86,62299,106412.00
51.98,62417,103833.00
52.1,62538,104278.00
52.22,62660,102771.00
52.34,62781,101397.00
52.46,62902,102185.00
52.58,63022,102106.00
52.7,63142,102945.00
52.82,63263,103385.00
52.94,63384,100952.00
53.06,63505,102008.00
53.18,63625,102000.00
53.3,63746,102683.00
53.42,63866,103315.00
53.54,63987,101586.00
53.66,64108,101598.00
53.78,64228,102145.00
53.91,64349,102540.00
54.03,64470,103436.00
54.15,64590,101949.00
54.27,64711,101241.00
54.39,64831,100220.00
54.51,64952,101270.00
54.63,65073,102357.00
54.75,65195,102678.00
54.87,65315,100311.00
54.99,65434,101437.00
55.11,65556,101405.00
55.23,65677,102232.00
55.36,65798,102640.00
55.48,65918,100392.00
55.6,66038,100782.00
55.72,66159,100995.00
55.84,66280,101366.00
55.96,66401,101896.00
56.08,66522,100773.00
56.2,66641,99770.00
56.32,66762,100782.00
56.44,66883,100834.00
56.56,67004,101549.00
56.68,67125,101071.00
56.8,67245,99161.00
56.92,67365,100393.00
57.04,67486,100467.00
57.16,67607,100558.00
57.29,67728,99112.00
57.41,67848,100271.00
57.53,67969,102677.00
57.65,68089,101842.00
57.77,68210,107630.00
57.89,68332,107149.00
58.01,68451,106494.00
58.13,68572,106601.00
58.25,68694,103450.00
58.37,68814,101882.00
58.49,68935,105352.00
58.61,69055,110716.00
58.73,69176,110380.00
58.85,69297,104993.00
58.97,69417,102034.00
59.1,69538,103061.00
59.22,69658,110369.00
59.34,69779,110720.00
59.46,69900,110176.00
59.58,70021,105550.00
59.7,70141,109944.00
59.82,70261,105573.00
59.94,70382,103015.00
60.06,70503,99883.00
