anomaly,Timestamp,IR Value
21.69,32128,109792.00
21.81,32248,109751.00
21.93,32368,109959.00
22.05,32489,110037.00
22.17,32610,110124.00
22.29,32731,109183.00
22.41,32851,109710.00
22.53,32971,109658.00
22.65,33092,109873.00
22.77,33213,110020.00
22.89,33334,110056.00
23.01,33454,109029.00
23.14,33574,109638.00
23.26,33696,109594.00
23.38,33817,109858.00
23.5,33938,109997.00
23.62,34058,110094.00
23.74,34179,109032.00
23.86,34299,109647.00
23.98,34420,109613.00
24.1,34541,109907.00
24.27,34661,110050.00
24.34,34782,110146.00
24.46,34903,109130.00
24.58,35023,109757.00
24.7,35143,109721.00
24.82,35264,109913.00
24.95,35385,109981.00
25.07,35506,110123.00
25.19,35625,109058.00
25.31,35746,109632.00
25.43,35867,109743.00
25.55,35988,109966.00
25.67,36109,110065.00
25.79,36229,110131.00
25.91,36349,109130.00
26.03,36470,109701.00
26.15,36592,109649.00
26.27,36711,109889.00
26.39,36832,110061.00
26.51,36954,110154.00
26.63,37074,109161.00
26.76,37195,109768.00
26.87,37315,109671.00
27.0,37436,109941.00
27.12,37557,110012.00
27.24,37678,109728.00
27.36,37798,109310.00
27.48,37918,109725.00
27.6,38039,109709.00
27.72,38160,109922.00
27.84,38281,110038.00
27.96,38401,108920.00
28.08,38521,109454.00
28.2,38642,109489.00
28.32,38763,109709.00
28.44,38884,109859.00
28.56,39004,109808.00
28.69,39124,108913.00
28.81,39245,109494.00
28.93,39366,109449.00
29.05,39488,109819.00
29.17,39607,109912.00
29.29,39728,109197.00
29.41,39849,109228.00
29.53,39970,109467.00
29.65,40089,109552.00
29.77,40211,109688.00
29.89,40332,109816.00
30.01,40453,108717.00
30.13,40573,109323.00
30.25,40693,109325.00
30.38,40814,109587.00
30.5,40935,109753.00
30.62,41056,109890.00
30.74,41177,108718.00
30.86,41296,109187.00
30.98,41417,109393.00
31.1,41538,109557.00
31.22,41659,109774.00
31.34,41779,109898.00
31.46,41900,109401.00
31.58,42020,109073.00
31.7,42141,109516.00
31.82,42262,109554.00
31.94,42382,109822.00
32.06,42503,109936.00
32.19,42624,109841.00
32.31,42745,109117.00
32.43,42864,109641.00
32.55,42985,109584.00
32.67,43107,109852.00
32.79,43228,109982.00
32.91,43348,110076.00
33.03,43468,109121.00
33.15,43589,109750.00
33.27,43710,109615.00
33.39,43831,109957.00
33.51,43952,110060.00
33.63,44071,110157.00
33.75,44192,109254.00
33.87,44313,109858.00
33.99,44434,109788.00
34.11,44554,110035.00
34.24,44675,110219.00
34.36,44795,110286.00
34.48,44916,109271.00
34.6,45037,109886.00
34.72,45157,109810.00
34.84,45278,109981.00
34.96,45399,110121.00
35.08,45520,110113.00
35.2,45639,109260.00
35.32,45760,109893.00
35.44,45882,109787.00
35.56,46003,110084.00
35.68,46124,110172.00
35.8,46243,109688.00
35.92,46364,109646.00
36.05,46485,109920.00
36.18,46606,109896.00
36.29,46727,110090.00
36.41,46846,110139.00
36.53,46967,109218.00
36.65,47088,109929.00
36.77,47209,109781.00
36.89,47329,110062.00
37.01,47450,110172.00
37.13,47570,109401.00
37.25,47691,109456.00
37.37,47812,109723.00
37.49,47932,109780.00
37.61,48053,110009.00
37.73,48174,110062.00
37.86,48294,109038.00
37.98,48414,109698.00
38.1,48535,109603.00
38.22,48656,109908.00
38.34,48778,110082.00
38.46,48899,109615.00
38.58,49017,109384.00
38.7,49139,109805.00
38.82,49260,109833.00
38.94,49381,110066.00
39.06,49502,110152.00
39.18,49622,109667.00
39.3,49742,109493.00
39.42,49863,109800.00
39.55,49984,109816.00
39.66,50104,110026.00
39.78,50225,110121.00
39.91,50345,109724.00
40.04,50466,109284.00
40.15,50587,109723.00
40.27,50707,109711.00
40.39,50828,109986.00
40.51,50949,110072.00
40.63,51069,109750.00
40.75,51190,109318.00
40.87,51310,109793.00
40.99,51431,109748.00
41.11,51552,109998.00
41.23,51673,110086.00
41.35,51792,109672.00
41.47,51913,109405.00
41.6,52034,109830.00
41.72,52156,109805.00
41.84,52277,109996.00
41.96,52396,110142.00
42.08,52517,109332.00
42.2,52638,109537.00
42.32,52759,109713.00
42.44,52879,109914.00
42.56,53000,110168.00
42.68,53121,110260.00
42.8,53241,109194.00
42.92,53362,109815.00
43.04,53482,109847.00
43.16,53603,110077.00
43.28,53724,110222.00
43.41,53844,110335.00
43.53,53964,109312.00
43.65,54085,109921.00
43.77,54206,109817.00
43.89,54327,110041.00
44.01,54448,110154.00
44.13,54567,110096.00
44.25,54688,109292.00
44.37,54809,109896.00
44.49,54930,109819.00
44.61,55052,110073.00
44.73,55171,110207.00
44.85,55291,109865.00
44.97,55413,109470.00
45.09,55534,109926.00
45.21,55653,109882.00
45.34,55775,110100.00
45.46,55896,110188.00
45.58,56016,109652.00
45.7,56137,109627.00
45.82,56257,109900.00
45.94,56378,109980.00
46.06,56499,110215.00
46.18,56620,110316.00
46.3,56740,109411.00
46.42,56860,109936.00
46.54,56981,109874.00
46.66,57102,110087.00
46.78,57223,110292.00
46.9,57342,110234.00
47.02,57463,109486.00
47.14,57584,110010.00
47.27,57705,109932.00
47.39,57826,110177.00
47.51,57946,110293.00
47.63,58066,109830.00
47.75,58187,109652.00
47.87,58309,110008.00
47.99,58430,110009.00
48.11,58549,110215.00
48.23,58671,110297.00
48.35,58791,109692.00
48.47,58912,109671.00
48.59,59032,109929.00
48.71,59153,109994.00
48.83,59274,110247.00
48.95,59395,110352.00
49.08,59515,109605.00
49.2,59635,109825.00
49.32,59756,109970.00
49.44,59877,110073.00
49.56,59998,110258.00
49.68,60119,110362.00
49.8,60238,109559.00
49.92,60359,109934.00
50.04,60480,109954.00
50.16,60601,110105.00
50.28,60721,110246.00
50.4,60841,110244.00
50.52,60962,109478.00
50.64,61083,110026.00
50.77,61205,109884.00
50.88,61324,110158.00
51.01,61445,110277.00
51.13,61566,109613.00
51.25,61687,109627.00
51.37,61806,109894.00
51.49,61928,109916.00
51.61,62049,110118.00
51.73,62170,110236.00
51.85,62290,109144.00
51.97,62410,109694.00
52.09,62531,109692.00
52.21,62652,109913.00
52.33,62773,110093.00
52.45,62893,110125.00
52.57,63013,109068.00
52.7,63134,109718.00
52.82,63255,109689.00
52.94,63376,109956.00
53.06,63496,110087.00
53.18,63617,110192.00
53.3,63737,109193.00
53.42,63858,109831.00
53.54,63979,109732.00
53.66,64099,110004.00
53.78,64220,110160.00
53.9,64340,110260.00
54.02,64462,109293.00
54.14,64581,109918.00
54.26,64702,109814.00
54.38,64824,110071.00
54.51,64945,110214.00
54.63,65065,110334.00
54.75,65185,109168.00
